coupling_mode,stereo_mode,samples_per_frame,channels,subband_count,frame_bytes,sample_rate_hz
1,0,256,1,12,256,8000
0,0,256,1,12,256,11025
0,0,512,1,18,376,22050
0,0,512,1,23,480,22050
0,0,1024,1,37,744,44100
0,0,1024,1,47,1024,44100
0,0,1024,1,47,1488,44100
0,0,512,1,24,744,22050
0,0,256,1,9,192,8000
0,0,256,2,11,464,11025
0,0,512,2,18,752,22050
0,0,512,2,24,1024,22050
0,0,1024,2,37,1488,44100
0,0,1024,2,47,2224,44100
0,0,1024,1,47,1488,44100
0,0,1024,1,47,480,44100
0,0,1024,1,47,744,44100
0,0,512,2,16,384,22050
1,3,512,2,20,480,22050
1,3,512,2,23,480,22050
1,3,512,2,24,744,22050
2,4,1024,2,32,744,44100
2,4,1024,2,32,1024,44100
5,5,1024,2,37,1024,44100
2,4,1024,2,37,1488,44100
6,5,1024,2,37,2240,44100
8,5,256,2,9,288,11025
1,2,1024,2,30,1488,44100
17,5,1024,2,34,2240,44100
19,5,512,2,23,1024,22050
17,5,1024,1,1,256,44100
