packet,band,envelope_value_v,category_cat
2,0,25,0
2,1,25,0
2,2,23,0
2,3,23,0
2,4,25,0
2,5,21,1
2,6,18,3
2,7,21,1
2,8,20,2
2,9,20,2
2,10,22,1
2,11,17,3
2,12,18,3
2,13,19,2
2,14,16,4
2,15,15,4
2,16,16,4
2,17,16,4
2,18,15,4
2,19,16,4
2,20,16,4
2,21,14,5
2,22,16,4
2,23,14,5
2,24,14,5
2,25,15,4
2,26,15,4
2,27,15,4
2,28,14,5
2,29,14,5
2,30,13,5
2,31,12,6
2,32,11,6
2,33,10,7
16,0,29,0
16,1,29,0
16,2,24,2
16,3,26,1
16,4,32,0
16,5,26,1
16,6,26,1
16,7,26,1
16,8,27,1
16,9,27,1
16,10,25,2
16,11,25,2
16,12,23,3
16,13,23,3
16,14,22,3
16,15,22,3
16,16,20,4
16,17,21,4
16,18,21,4
16,19,22,3
16,20,21,4
16,21,20,4
16,22,20,4
16,23,19,5
16,24,19,5
16,25,18,5
16,26,20,4
16,27,20,4
16,28,17,6
16,29,17,6
16,30,17,6
16,31,18,6
16,32,17,6
16,33,14,7
17,0,28,0
17,1,27,0
17,2,25,1
17,3,23,2
17,4,32,0
17,5,25,1
17,6,29,0
17,7,26,1
17,8,26,1
17,9,26,1
17,10,25,1
17,11,24,2
17,12,22,3
17,13,22,3
17,14,24,2
17,15,20,4
17,16,21,3
17,17,22,3
17,18,22,3
17,19,21,3
17,20,18,5
17,21,17,5
17,22,18,5
17,23,18,5
17,24,18,5
17,25,18,5
17,26,19,5
17,27,18,5
17,28,16,6
17,29,17,6
17,30,16,6
17,31,16,6
17,32,16,6
17,33,15,7
